,si,gu,dong,name,address,review,label
0,서울특별시,강남구,역삼동,정월,서울 강남구 강남대로102길 46 1층,강남 카페 정월  주택을 개조한 감성카페로 강남역 외곽쪽이라 나만 아는 분위기좋은 카페라고 우기고싶지만 늘 사람이 많은 곳이다 1층 2층 테라스 등 공간 분리가 다양한 형태로 되어있어서 소리가 울리거나 복잡하지 않아서 같이 온 사람들과 대화하기 좋은  카페이다 1층보다는 2층이 더 조용한 편  말차라떼가 시그니쳐메뉴이고 그 외에도 다양한 라떼들도 인기가 많다 정월은 겨울보다는 푸릇푸릇한 여름이 더욱 예쁠 것 같다  강남역카페 정월 카페정월 조용하게 대화할 수 있는 카페를 찾다가 왔어요 노래가 크지 않은 한적한 곳을 원했습니다 주말 점심 식사 후 방문이었는데 사람이 정말 많아 자리잡기가 어려웠어요 건물 내 테이블은 몇군데 빼고 창이 없어 답답했지만 그 외에도 야외 좌석이 많고 특히 2층은 탁 트여있어서 좋았어요 강남역에서 조금 걸어서 올라와야 하지만 원두 고를수 있고 베이커리류도 적당히 곁들일 수 있게 선택지가 있어서 재방문 의사 있어요 딸기크루아상 딸기도 신선했고 생크림이랑 조화가 장난없었어요 아메리카노랑도 찰떡 산미적은 원두로 부탁드렸는데 딱 알맞게 해주셨어요 매장이 넓은 편이긴 하나 너무 핫플이라서 주말엔 사람이 너어어어무 많았어요 평일에 가세요 주택 개조 카페 전체적으로 분위기가 원목 중심이라서 따뜻한 느낌 들어가는 데크가 삐걱거리는 부분이 조금 위험했지만 1층 테라스석 정원석 2층 테라스석 내부석까지 은근히 좌석은 많은 편인데,"[0, 0, 1, 1, 1, 0, 0, 0]"
1,서울특별시,강남구,역삼동,어글리스토브 신논현강남역점,서울 강남구 강남대로98길 20,회식을 점심으로 ♡ 음식 하나하나 정성스럽게 담아져 나오고 셋트 메뉴를 시켰는데  엄청 빠르게 나와 먹느라 치우느라 정신이 없었어요 다음에 다시 온다면 단품으로 실속있게 시켜야 겠다는 생각  강남구맛집 역삼동맛집 필라프맛집 잘먹고힘내기 마음의무지개 맛있는한끼 존맛 그잡채 메뉴가 많아서 고르기 힘들어가지구 베스트 세트 먹었는데 후회없는 선택이었어요 크랩 로제 파스타 꾸덕하고 진했고 게 살도 가득이었어요 ̆̈ 스테이크도 잘 구워져서 맛있었고 새우도 통통했어요 치킨 스테이크도 부드러웠고 같이 나온 또띠아에 소스 취향껏 올려서 싸먹으면 존맛  데이트로 딱이었습니다  오래간 만에 모임장소로 네이버예약햬놓고 입장하기 편했어요 6명 자리도 넓고 분위기도 좋네요 일찍 오픈하는데 사람들 많이 차있었어요 스테이크는 강추요 부드럽고 맛나요 다른음식들 괜츈 피자는 맛이 좀  모임장소로 좋아요 재방문의사 있네요 벌써 세번째 방문이에요 넓고 캐주얼한 분위기에 맛있고 친절했어요 브레이크 타임이 없는 걸로 알아서 애매한 오후시간대에 편하게 찾았는데 하필 오늘만 있었다고 해요 생각보다 기다림이 크지 않아 근처 있다가 다시 방문했는데 맛있고 친절해서 만족도가 높았네요  공간이 넓어서 모임장소도 좋고 오래 이야기 해야하는 소개팅 자리도 좋아요 저는 남편과 데이트 장소로 방문했어요 저녁이 방문한다면 와인 한잔 곁들여서 더더욱 로맨틱해질 것 같은 분위기에요  직원분들도,"[0, 0, 1, 1, 0, 0, 1, 0]"
2,서울특별시,강남구,역삼동,썸띵어바웃커피,"서울 강남구 강남대로102길 30 1, 2, 3층",황치즈케잌만 보고 달려간곳 디저트 세팅되있는것도 너무예쁘게되있더라고요 뚜껑커버씌여져 있는것도 좋았어요 황치즈케익없어서 직원분께 물어봤더니 1015분뒤에 나올거라고해서 기다렸다가 구매했어요 비주얼이쁜데 맛은 생각보다 아쉬웠던그래도 눈호강했어요 꺄 여기 분위기도 음식도 다 최고네요 실내 야외공간도 있어서 선택해서 자리잡을 수 있는게 좋고 참새 친구들도 놀러와서 짹짹거리고 갑니다  노랫소리도 거슬리지 않아 이야기 나누기에도 좋고요 무엇보다 빵이 맛있으니 만족도가 높은 곳이네요  화장실도 23층에 있으니 멀리 나가지 않아도 되니 좋아요 지인 만나러 가는 길에 특색 있는 곳이라 해서 가 보았습니다 뒤쪽 골목 길가에 있는데요 입구에서 보이는 핑크색 해골이 특색 있어요 1층 2층 공간이 정말 넓어요 3층도 있다는데 저는 올라가보지는 않았습니다  다양한 디저트가 예쁘게 디스플레이 되어 있네요 쑥인절미 갸또 폭신한 디저트인 줄 알았는데 제가 다른 곳에서 먹어보던 비슷한 메뉴보다 많이 꾸덕하네요 인절미와 쑥향이 나고 적당히 달아요 카라멜 헤이즐넛 휘낭시에 부드럽네요 이름은 카라멜 헤이즐넛이라고 되어 있는데 일반 휘낭시에와 맛이 다른지 잘 모르겠네요 딸기홍차 빨간색 라벨 홍차네요 딸기향이 약간 나는 듯  얼그레이 기본 홍차 맛입니다 홍차는 모두 좋아요 평일 12시1시 음료를 20 할인해준다고 하네요 3층짜리 대형카페  케잌제과류와 음료주문은 2층이고2층,"[0, 1, 1, 1, 1, 0, 0, 0]"
3,서울특별시,강남구,역삼동,트리오드,서울 강남구 강남대로94길 28 유니언타운 L층,분위기도 좋고 디저트가 진짜 맛있네요 디저트 페어링세트는 기대를 많이했는데 좀 아쉬웠지만 초코케익이랑 블루베리케익은 진짜 완전 맛있어요 인스타에서 핫햇던 이유가있네용 데이트장소로 추천 되게 컨셉이 독특해서 들려보게 되었어요  초코케이크그램은 생각보다 특별한 느낌은 없고 일반적인 초코케이크무스 맛이였어요  좀 더 맛이 진하면 더 좋을 것같아요  그래도 매장도 엄청 쾌적하고 직원분들도 친절하고 으로 하는것 자체가 독특한 느낌이라 재미있고 좋았어요  입에서 아주 살살 녹는 케이크 처음 먹어봐써요 햇살맛집 분위기맛집 커피맛집 모든걸 다 갖춘 곳 평일에도 손님많았어여 또 방문할게용 그람수대로 케이크를 시킬 수 있다는 컨셉이 되게 독특해서 방문해봤어요 에 출연해서인지 손님이 어마어마하게 많았습니다 불친절한 직원분이 계셔서 기분이 조금 상했지만 커피 맛은 괜찮았어요  디저트는 무난한 맛이었습니다 독특한 컨셉의 카페 대기석까지 따로 있을정도로 핫한곳 평일에는 지하는 개방안한다고 함 평일 8시반에 갔는데 웨이팅 실화인가 케잌 맛있었다 백그람은 너무 적다 더 시키세오 커피도 맛있었음  사람 너무 많아서 사실 예쁘다 느낌은 안들었지만 이렇게 또 핫플 다녀와봤다 만족 그람 수 대로 케익을 파는 곳이 있다 없다 있다 시즌 별로 메뉴가 바뀌고 보는 그램을 눈으로 확인하고 플레이팅 확인까지 일련의 과정들이 의식같이 진행되는 트리오드 원픽은 딸기였는데 티라미수가,"[0, 1, 1, 1, 0, 0, 0, 0]"
4,서울특별시,강남구,역삼동,알베르,서울 강남구 강남대로102길 34,디아아2잔 단호박파운드 시나몬롤 매장에서 먹음 커피도 맛있고 디저트 말로 설명하기 어려울 정도로 맛있었다 카페가 인테리어도 구석구석 독특하고 무엇보다 여러층으로 이루어져있고 넓어서 대화하기좋았다 아직 쌀쌀하지만 날좋을때 3층에서 커피마시면서 대화나누면 넘 좋습니다  나무도 멋있구 낭만적이였어요 강남 대형 카페입니다 북적이긴 하지만 워낙 카페가 커서 웅성거림이 다른 곳보다 덜해서 가끔씩 찾는 카페 음료는 기본맛이며 베이커리류도 기본은 하는 곳입니다 주말에 강남에 가면 카페 자리잡기가 쉽지 않은데 이렇게 대형카페가 있는줄 그동안 몰랐어요 1층부터 3층까지 자리도 많구요 지하도 굉장히 넓은것 같았어요 다만 카페 규모에 비해 화장실은 조금 아담한 느낌 테라스 자리도 있어서 날씨 좋을때는 야외에 앉아도 좋을 것 같아요 아메리카노랑 시그니처 라떼 주문했는데 라떼에 들어있는 아이스크림 맛이 달달하구 좋아요  자리도 편해서 오래 앉아서 수다떨기도 좋고 종종 강남오는데 자주 올 것 같아요 강남역에 이런 대형까페 잇다니 엄청 넖어요 빵도 커피도 맛있음 오늘같은날씨에는 테라스도 너무좋네요 분위기도 좋고 대화하기 좋아요 강남역 알베르 커피샵  강남역에 이렇게 큰 커피샵이 있었는 지 첨알았어요 지하도 엄청크고 2층까지 있더라구요 지하는 공연이나 스몰웨딩해도 될정도로 어마무시하게 넓어요  쾌적하게 수다떨기 너무 좋더라구요 뷰가 너무 좋고 이국적이에요 어디갈지,"[0, 0, 1, 1, 1, 1, 0, 0]"
5,서울특별시,강남구,역삼동,프라텔리,"서울 강남구 봉은사로4길 31 지하1층, 지상1층",마망갸또 자리에 생겼더라고요 강남에서 자리 있는 카페 찾기가 여간 어려운 게 아닌데 층이 많아 앉을 자리가 많아 좋아요 분위기도 편안하고 좋았어요 카페인을 못 마셔서 루이보스 시나몬티 마셨는데 시나몬 향이 향긋해 좋았어요 그리고 바스크 치즈케이크가 너무 맛있었어요 케이크 다 맛있어 보이던데 한번씩 다 먹어보고 싶어요 잘생기신 사장님 세분이서 운영하시는 것 같은데 엄청 친절하셨어요 강남에 이렇게 조용하고 아늑한 카페 찾기 어려운데 넘나 좋은 시간 보냈습니다 프렌치 토스트 진심 혁명입니다 소금에 찍어먹으라고 해서 주셨는데 단짠단짠 극락 댕겨왔네얍 얼그레이 초코 케이쿠도 맛있었어욥 저 초코 되게 좋아하는데 초코우유가 비싼만큼 진하구 맛있더라구여 재방문 각입니당 인테리어가 멋져요 데이트나 친구랑 수다떨기 좋음 날 좋은날 루프탑 좋음  그린슈페너는 그냥 말차라떼맛에서 쪼끔 고급진맛 시그니처치고는 평범 아아는 원두가 좋은지 맛있어요 요새 날씨가 좋잖아요 루프탑에서 먹는 토스트는 얼마나 맛있는지 모르겠어요여기 토스트 맛집이네오 쵝오그리고 직원분들도 엄청 친절해서 기분 좋았어요 다음에 또 올게요 조용히 대화하기 좋은 카페입니다 밖에서 볼때 카페가 작아보이지만 막상 들어가면 좌석이 군데군데 많이 있어요 저는 날이 좋아 야외테라스에 있었습니다 커피는 좋아하지만 쓴건 싫어하는데 이집커피 부드럽고 향도 좋고 맛있네요감칠맛이 나서 계속 호로록댓네요 같이 주,"[0, 0, 1, 1, 1, 0, 0, 0]"
6,서울특별시,강남구,역삼동,카페413프로젝트,서울 강남구 논현로97길 19-11,역삼에 자주 가는 브런치 카페 413이에요 매일 먹는 메뉴 2개에 이번엔 뇨끼를 추가해서 먹었는데 괜찮았어요 뇨끼가 거의 떡 느낌이였는데 소스는 역시 맛있어서 빵과 함께 즐기기 좋았어요 조명과 인테리어도 예뻐서 인생샷 건지기도 너무 좋았습니다 친구들과 좋은 시간 보내기 좋았습니다 뇨끼가 정말 맛있었던 브런치맛집 이제야 알게 되었군요 뇨끼는 토마스 베이스 크림 소스가 살짝 새콤하면서 감칠맛에 계속 먹게 되구요 특히 떡인지 뇨끼인지 헷갈릴 정도로 쪼온득한 알맹이 맛있는 미트볼이 조화로웠어요 리가토니는 구운 파스타 면이 되게 특이했는데 소스가 역시 새콤한 토마스 베이스에 치즈가 잘어울려맛있었어요 감바스 오믈렛은 무난 건강하니 먹기 좋은 맛이었습니다 그리고 전체적으로 빵이 정말 맛있더라구요 디저트도 맛있어 보이던데 나중에 도전해 보아야겠습니다 분위기도 좋구 어두컴컴 한거 좋아하는 1인으로서 맛은 더더 좋구 커피까지 맛있다  아주 훌륭한곳벌쏘 몇번째 방문인지 나름 주위에 전파중이다 역삼역 근처에 여기를 대체할 다른 브런치 카페가 생각나지 않아서 늘 여기로 오는데 올 때마다 만족스럽다  주문 후 많이 기다려야 하고 테이블이 좁고 불편하지만 사람이 많으니 감수해야지  2층 공기가 매우 답답한데 이건 좀 개선이 가능할듯  화장실 처음가봤는데 편하지는 않았다  문고리가 불안함  주차장은 있지만 거의 불가능 근처 유료주차장이 맘편함  감바스오믈렛  계,"[1, 0, 1, 1, 0, 0, 0, 0]"
7,서울특별시,강남구,역삼동,헤이스테이,서울 강남구 봉은사로6길 39 1층(역삼동),넘나 인스타 갬성 카페  근데 심지어 맛도 좋구 디저트 음료 종류도 넘 많아요 무엇보다도 테라스 자리 무엇 진짜 봄날씨 느낄 수 있고 바람도 선선하고 딸기스무디 너무 맛있어요 특히   크로와상도 7000원대인데 양이 진짜 너무 많아요 안에 크림 미쳤음 찍는 사진마다 완전 인생샷이었어요  인테리어도 너무 예뻐서 담에 또 오고 싶어용  강남역에 대형카페가 생겼다고 해서 가본 카페 엄밀히는 강남역과 신논현역 중간이다   1층에도 테라스가 있고 2층도 넓직하고 화이트에 파스텔톤으로 포인트를 준 아기자기한 인테리어가 예뻤다 여기저기에 포토존을 만들어놓아서 사진 찍기 좋았다   평일 오후 늦게 가서 그런지 사람이 적당히 있어서 얘기하기 좋았다 빵은 많이 솔드아웃 되어서 몇몇 칸이 비어있었지만 남아있는 것들을 보아도 먹음직스럽게 생겼음 직원이 배려없이 바로 옆 테이블을 의자를 쓰러트러가며 소란스럽게 청소하는 것이 아쉬웠던 점보통 그러면 죄송합니다란 말 한마디는 하지 않나  음료는 레몬샤베트맛은 괜찮았다 자리가 넓고 쾌적해서 좋았어요 디저트류도 많고 보기만해도 맛있어용 2층 창가자리가 많아서 좋았어용 화장실도 쾌적 원두 산미 있는거 없는거 선택할 수 있어서 좋아요  곳곳에 거울이 있어서 거울샷 찍기 좋아요 하얗고 밝은 분위기의 매장이라 개방감이 시원해서 어디서든 사진찍어도 잘나오고 일층에는 야외테이블도 있고 2층에는 통개방유리로 되어있어 야외느낌,"[0, 0, 1, 1, 1, 0, 0, 0]"
8,서울특별시,강남구,역삼동,타우너스 에스프레소 바 역삼점,서울 강남구 테헤란로28길 41 타우너스 1층,정말 개인적인 의견입니다 워낙 유명한 곳이고 커피도 맛있다그래서 방문했는데 전 진짜 별로였어요 일단 평일에 가서 그런지 웨이팅은 없었고 디저트 그냥 그랬어요 말만 휘낭시에같고 파운드케이크 같더라구요 에스프레소도 좋아해서 기대했는데 원두가 저랑 안맞는건지 별로였고 그나마 아보카도가 제일 나았는데 아이스크림이 제일 맛있었어요 사진은 잘나와요 아 그리고 커피따로 베이커리 따로 결제하는건 좀 불편하네요 한번에 결제하면 편할것같아요 다양하게 시켜 마셔봤습니다 주말이라 사람이 많을 줄 알고 긴장했는데 날씨가 도와준걸까요 비와서 넓은 공간에 저희뿐이라 공간을 즐길 수 있었네요 라탄이 곳곳에 있어서 발리 느낌이 물씬났고 기본적으로 산미가 강한 맛이었습니다 한켠에 와인도 팔아서 다음엔 와인을 마셔볼까 싶네요  넓고 한적한데 분위기도 좋습니다 컨셉이 휴양지인데 이층은 깔끔한 컨셉입니다  날이 좋을 때는 밖에 앉아 있는 것만으로 힐링 될것 같습니다  이층은 전체가 다 창으로 둘러 있어서 햇살이 잘 들어오고 너무 좋아요  일층에도 바테이블도 있고 앉은뱅이 같은 휴양지 자리도 있습니다  베이커리도 맛있는고 좋네요 일단 에스프레소가 너무 맛있고 인테리어가 넘넘 예뻐요  사진 어떻게 찍어도 다 잘나와요 솔티드 에스프레소 입문자에게 추천합니다 넘 맛나요 큽 아포카토도 아이스크림 왜케 맛있는지 비주얼 맛 모두 완벽 회사근처라 맛있는 커피 먹고 싶을 때 자주 오려구,"[1, 0, 1, 1, 0, 0, 0, 0]"
9,서울특별시,강남구,역삼동,문화시민 서울,서울 강남구 강남대로62길 35 2층,디저트오마카세 첫데뷔하는 동생이 대만족 했어요♡ 최애들 생일이라 신경쓰고싶어서 해피벌스 플레이팅까지 너무완벽해서 최고의생일♡ 옥수수좋아하는 동생이 옥수수스쿼시 는 특히 100번 먹어야된다고 했어요 친절하시고 작은공간에서 엄청 힐링했네요  평가 ★★★☆☆ 엄마랑 오랜만에 데이트 디저트 오마카세라는 개념조차 익숙하지 않았는데 하나하나 설명도 친절하게 해주시고 눈도 입도 즐거운 시간이었습니다 음료는 따로 주문해야하는데 추천해주시는대로 커피보다는 따뜻한 티랑 같이 먹는게 더 좋을 것 같아요 디저트 오마카세로 유명한 문화시민 서울 구움과자도 역시 맛있네요 통통하고 예쁜 마들렌 정말 맛있습니다 포장도 고급스러워서 선물용으로도 좋을 것같아요 예뻐요 비쥬얼 예쁘죠 특이해요 들기름 특이하죠 아이디어 참 좋다 디저트 오마카세 참 궁금했다 벽지가 내 스타일이다 마들렌하고 휘낭시에정말 맛있어요 몇개빼고 거의 다 먹어봤는데 제가 먹어봤던 마들렌중에서 3에 들정도로 애정합니다 디저트 좋아하시면 추천합니당 진짜 색다른 디저트의 경험이었어요 디저트마다 맛을 하나하나 느껴보는 것도 재밌었구요 설명도 넘 잘해주시고 디저트를 좋아하는 입맛이 아니지만 넘 재밌고 좋은 경험이었어요 동시간대에 같이 시작하는 줄 알았는데 가니까 이미 식사를 시작하고 계시더라구요 자리에 앉자마자 설명해주시고 디저트를 기다리는데 다음 메뉴가 타이밍이 맞아서 바로 나올 때도 있고 아닌 경우도 있,"[0, 1, 1, 0, 0, 0, 0, 0]"
